id;origine;date;precision;date_brute;nature;intitule;phase;domaine_8;systeme;acteur_principal;acteur_secondaire;arene;type_acte;type_acte_2;effet_prop_monetaires;crise;crisis_no;cve;fil;source;source_graphe;acteurs_graphe;occurs_in;variantes;notes;gid;codage_statut;codage_justif;statut_ligne;acteur_principal_mode;acteur_principal_id;acteur_principal_nom
G082;graphe;2010-11-15;jour;;acte;Correction d’un bug de type 'Inflation';poc;vi;bitcoin;;;;;;nd;non;;;;graphe v97 (chapitre nd) + fig. n6 V2.8 (bin);I.2.1 Un protocole deborde de carnavalesques improvisations d acteurs;;Phase de preuve de concept [DevelopmentPhase];;Correction d'urgence du bug CVE-2010-5139 permettant la création de 184 milliards de BTC, résolu par Satoshi Nakamoto en moins de 6 heures via un soft fork coordonné.;e2c89bd57671472cb2f471d04c34bf76;;;chantier;;;
G066;graphe;2010-11-22;jour;;acte;BitcoinTalk forum created;poc;iv;bitcoin;;;;;;nd;non;;;;graphe v97 (chapitre nd);III.1 Crise Bitcoin CVE 2018-17144 : d'une crise à de nombreuses autres… | III.1.2 — Une remise en ordre rapide (CVE 2018) | III.3.4 — « Fork You ?! » : scission surprise fondatrice et ses enseignements;;Phase de preuve de concept [DevelopmentPhase];;Forum Bitcoin créé par Satoshi Nakamoto en novembre 2009 (initialement Bitcoin Forum), principal espace de délibération de la communauté Bitcoin.;0d81bba0461d49a5af8997a20663d630;;;chantier;;;
E016;catalogue;2010-11-27;jour;;acte;Slushpool - premier pool de minage cooperatif;poc;ii;bitcoin;mineurs;;entreprises_services;innovation_infrastructurelle;;nd;non;;;minage;ch.I l.315;;;;;controverse indigene (minage cooperatif = communisme);;valide(calibrage);;validee;;;
G083;graphe;2010-11-27;jour;;acte;Première pool de minage (Slush Pool);poc;ii;bitcoin;;;;;;nd;non;;;;graphe v97 (chapitre nd) + fig. n6 V2.8 (bin);I.2.1 Un protocole deborde de carnavalesques improvisations d acteurs;Marek Palatinus (Slush) | Slush Pool;Phase de preuve de concept [DevelopmentPhase];;Première coopérative de minage Bitcoin, fondée par Marek Palatinus (Slush) fin 2010 à Prague, permettant aux petits mineurs de partager les récompenses.;cc346d7c8cdf450ca81c1cd08d65b68c;;;chantier;;;
E017;catalogue+graphe;2010-12;mois;;acte;BitLaundry - premier service de mixage;poc;iii;bitcoin;entrepreneurs_exchanges;;entreprises_services;innovation_infrastructurelle;;fongibilite(+);non;;;portefeuilles;ch.I n.74 l.607 + fig. n6 V2.8 (bin);I.2.1 Un protocole deborde de carnavalesques improvisations d acteurs;;Phase de preuve de concept [DevelopmentPhase];;preserver la fongibilite (texte);64a49803ef464d83a7ae3a674d180ca8;valide(calibrage);;douteuse;;;
G117;graphe;2010-12;mois;;acte;Retrait de Nakamoto (décembre 2010);poc;iv;bitcoin;;;;;;nd;non;;;;graphe v97 (Chapitre I);I.2.1 Un protocole deborde de carnavalesques improvisations d acteurs;Satoshi Nakamoto | Gavin Andresen | Mike Hearn | Martti Malmi;Phase de preuve de concept [DevelopmentPhase];;Dernier message public de Nakamoto le 12 décembre 2010. Retrait progressif dès fin 2010, motivé par la notoriété croissante et son refus d'être une 'mystérieuse figure d'ombre'. Pé;ae0f729d88cf472db6b6aeb80783594f;;;chantier;;;
E018;catalogue+graphe;2010-12-10;jour;;acte;Article PC World sur WikiLeaks - Bitcointalk sature;poc;iv;bitcoin;medias_connaissance;;presse_medias;qualification_publique;;nd;non;;;mediatisation;ch.I l.273 + fig. n6 V2.8 (bin);"Chapitre I ; III.1 Crise Bitcoin CVE 2018-17144 : d'une crise à de nombreuses autres… | III.1.1 — Présentation périodisée : une mise en crise longue et silencieuse (CVE 2018) | I.1 Quand Bitcoin définit son monde… : l'aloi politique d'une CM pionnière";Satoshi Nakamoto | WikiLeaks;Phase de preuve de concept [DevelopmentPhase];;nid de frelons (Nakamoto) — date precisee par la figure;944c9169ed3d416f95bebdfd4b9b1d20;valide(calibrage);;validee;;;
E019;catalogue;2010-12-12;jour;;acte;Dernier message public de Nakamoto;poc;iv;bitcoin;core_devs;;listes_forums;[CHANTIER type];;nd;non;;;genese;ch.I l.113 + n.101 l.661 + fig. n6 V2.8 (bin);;;;;retrait du concepteur - hors typologie actuelle;;valide(calibrage);;chantier;;;
G067;graphe;2010-12-23;jour;;acte;First public French info site Bitcoin.fr;poc;iv;bitcoin;;;;;;nd;non;;;;graphe v97 (chapitre nd) + fig. n6 V2.8 (bin);III.1 Crise Bitcoin CVE 2018-17144 : d'une crise à de nombreuses autres… | III.1.2 — Une remise en ordre rapide (CVE 2018) | III.3.4 — « Fork You ?! » : scission surprise fondatrice et ses enseignements;;Phase de preuve de concept [DevelopmentPhase];;Lancement de Bitcoin.fr, premier site francophone d'information sur Bitcoin, contribuant à la diffusion de la cryptomonnaie dans la communauté francophone.;4d123d178412441bbf33bfa8240e9c3c;;;chantier;;;
E020;catalogue;2011;annee;;seuil;Parite 1 BTC = 1 dollar (saluee par Slashdot);poc;i*;bitcoin;nd;;marches_plateformes;nd;;valorisation(+);non;;;marches;ch.I l.271;;;;;debut 2011;;valide(calibrage);;validee;;;
E021;catalogue;2011;annee;;acte;Lancement de Silk Road (Ulbricht);poc;i;bitcoin;entrepreneurs_exchanges;communautes_forums;marches_plateformes;adoption;;usage_paiement(+);non;;;peche;ch.I l.279 + fig. n 6;;;;;texte - lance a la phase precedente;;valide(calibrage);;validee;;;
E022;catalogue;2011;annee;;acte;Creation de Bitcoin Magazine (Buterin et Alisie);poc;iv;bitcoin;medias_connaissance;;presse_medias;innovation_infrastructurelle;;nd;non;;;mediatisation;ch.I l.391 + l.281;;;;;[CHANTIER: fig. situe la premiere publication en 2012] — premiere parution = ligne figure dediee (01/05/2012) — premiere parution = ligne figure dediee (01/05/2012);;valide(calibrage);;chantier;;;
E024;catalogue+graphe;2011;annee;;acte;Electrum - premier portefeuille leger non custodial;poc;iii;bitcoin;entrepreneurs_exchanges;;entreprises_services;innovation_infrastructurelle;;nd;non;;;portefeuilles;ch.I n.74 l.607 + fig. n6 V2.8 (bin);I.2.1 Un protocole deborde de carnavalesques improvisations d acteurs;;Phase de preuve de concept [DevelopmentPhase];;fin 2011;8bc6f2749a284bb7add34a1739cec310;valide(calibrage);;validee;;;
E025;catalogue;2011;annee;;acte;Creation de la procedure BIP (Taaki);poc;vi*;bitcoin;core_devs;;depots_de_code;innovation_infrastructurelle;;nd;non;;;gouvernance;ch.I l.391 + ch.III l.449;;;;;[CHANTIER: date non donnee dans les fichiers autorises];;valide(calibrage);;chantier;;;
G091;graphe;2011;annee;;acte;Migration du code Bitcoin vers GitHub (2011);poc;vi;bitcoin;;;;;;nd;non;;;;graphe v97 (Chapitre I);III.1 Crise Bitcoin CVE 2018-17144 : d'une crise à de nombreuses autres… | III.1.1 — Présentation périodisée : une mise en crise longue et silencieuse (CVE 2018) | I.1 Quand Bitcoin définit son monde… : l'aloi politique d'une CM pionnière;;Phase de preuve de concept [DevelopmentPhase];;Migration du dépôt de code source Bitcoin de SourceForge vers GitHub en 2011, facilitant la collaboration ouverte. Étape de structuration de la gouvernance du développement protoco;4319dfd47a434d08a9cbc371e4c05506;;;chantier;;;
G096;graphe;2011;annee;;acte;Premier minage FPGA (2011);poc;ii;bitcoin;;;;;;nd;non;;;;graphe v97 (Chapitre I) + fig. n6 V2.8 (bin);I.2.1 Un protocole deborde de carnavalesques improvisations d acteurs;;Phase de preuve de concept [DevelopmentPhase];;Etape intermediaire entre GPU et ASIC dans la specialisation du hardware de minage.;f28b9ec90edb4d7782ce4827a9cf9834;;;chantier;;;
G097;graphe;2011;annee;;acte;WeUseCoins et crypto.fr, medias communautaires (2011);poc;iv;bitcoin;;;;;;nd;non;;;;graphe v97 (Chapitre I);I.2.1 Un protocole deborde de carnavalesques improvisations d acteurs;;Phase de preuve de concept [DevelopmentPhase];;Emergence de medias specialises Bitcoin issus de la communaute, concurrencant les medias traditionnels.;0628e0fc39504e9e8b501e94365bbef8;;;chantier;;;
G118;graphe;2011;annee;;acte;BIP-0001 : institutionnalisation du processus de développement Bitcoin;poc;vi;bitcoin;;;;;;nd;non;;;;graphe v97 (Chapitre I);III.1 Crise Bitcoin CVE 2018-17144 : d'une crise à de nombreuses autres… | III.1.1 — Présentation périodisée : une mise en crise longue et silencieuse (CVE 2018) | I.1 Quand Bitcoin définit son monde… : l'aloi politique d'une CM pionnière;;Phase de péché [DevelopmentPhase];;Premier Bitcoin Improvement Proposal (BIP-0001) proposé par Amir Taaki en 2011 : établit le cadre normatif et procédural régissant les modifications du protocole Bitcoin. Les dével;fda844ff24dc4fe6882516b72e6d71ce;;;chantier;;;
G120;graphe;2011;annee;;acte;Flood attacks / attaques DOS par spam de transactions;poc;;bitcoin;;;;;;nd;non;;;;graphe v97 (Chapitre I);I.2.1 Un protocole deborde de carnavalesques improvisations d acteurs;;Phase de péché [DevelopmentPhase];;Attaques par envoi massif de transactions de montant infinitésimal pour surcharger les nœuds Bitcoin (flood attacks). Risque structurel inhérent à la gratuité initiale du traitemen;398e5477ea2041a1a030330178fb9c52;;;chantier;;;
G123;graphe;2011;annee;;acte;Premiers NFT sur Namecoin (détournement d'usage);poc;vi;altcoin;;;;;;nd;non;;;;graphe v97 (Chapitre I);I.2.1 Un protocole deborde de carnavalesques improvisations d acteurs;;Phase de péché [DevelopmentPhase];;Détournement carnavalesque : premiers tokens non fongibles consignés sur Namecoin. Illustre la dynamique d'innovation imprévue (Whitebbit1111 2022).;500e47a7ba0346be981231b81afe7e88;;;chantier;;;
G131;graphe;2011;annee;;acte;Kraken : plateforme d'échange cryptos (Jesse Powell, 2011);poc;;altcoin;;;;;;nd;non;;;;graphe v97 (Chapitre I);I.2.1 Un protocole deborde de carnavalesques improvisations d acteurs;Jesse Powell | Kraken;Phase de péché [DevelopmentPhase];;Plateforme d'échange de cryptomonnaies fondée par Jesse Powell (co-fondateur de Ripple/OpenCoin). L'une des principales de la phase de maturation.;ba1d7f22fdef48b4bbc489e736810412;;;chantier;;;
G168;graphe;2011;annee;;acte;Lancement Casascius Physical Bitcoins (Mike Caldwell, 2011);poc;iii;bitcoin;;;;;;nd;non;;;;graphe v97 (chapitre nd);III.1 Crise Bitcoin CVE 2018-17144 : d'une crise à de nombreuses autres… | III.1.1 — Présentation périodisée : une mise en crise longue et silencieuse (CVE 2018) | I.1 Quand Bitcoin définit son monde… : l'aloi politique d'une CM pionnière;;Phase de preuve de concept [DevelopmentPhase];;;b18c50643f6b4a59a9b06ff01ecf2e5c;;;chantier;;;
G048;graphe;2011-01;mois;;acte;Mining pools emergence;poc;;bitcoin;;;;;;nd;non;;;;graphe v97 (Chapitre I, section I.2);I.2.1 Un protocole deborde de carnavalesques improvisations d acteurs;Mineurs Bitcoin | Satoshi Nakamoto | Core Developers (Bitcoin);Phase de péché [DevelopmentPhase];Mining pools /// InfrastructureEvent — Mining pools (coopératives de minage);Coopératives de mineurs mutualisant leur puissance de calcul pour stabiliser leurs revenus, la première (Slush Pool) apparaissant fin 2010.;7f80094676fd44a785c6483dbee4f8c5;;;chantier;;;
G093;graphe;2011-02;mois;;acte;Slashdot article parite BTC/$ (fevrier 2011);poc;iv;bitcoin;;;;;;nd;non;;;;graphe v97 (Chapitre I) + fig. n6 V2.8 (bin);I.2.1 Un protocole deborde de carnavalesques improvisations d acteurs;;Phase de preuve de concept [DevelopmentPhase];InfrastructureEvent — Parite BTC/$ (1$, debut 2011);Article Slashdot saluant la parite d un BTC au dollar. Premier relais media tech mainstream de la valorisation Bitcoin.;33f6747a334543fcae909b2aaf0f04cd;;;douteuse;;;
G084;graphe;2011-02-01;jour;;acte;Première place d’échange illégale (Silk Road);poc;i;bitcoin;;;;;;nd;non;;;;graphe v97 (chapitre nd) + fig. n6 V2.8 (bin);I.2.1 Un protocole deborde de carnavalesques improvisations d acteurs;Silk Road;Phase de péché [DevelopmentPhase];;Lancement de Silk Road en février 2011 par Ross Ulbricht (Dread Pirate Roberts), premier marché noir sur Tor exploitant Bitcoin pour l'anonymat des transactions.;a089031b82eb4c67b2cfc686016a3820;;;chantier;;;
E023;catalogue+graphe;2011-03-25;jour;;acte;WeUseCoins - media specialise d'education;poc;iv;bitcoin;medias_connaissance;;presse_medias;adoption;;nd;non;;;mediatisation;ch.I l.271 + fig. n 6 + fig. n6 V2.8 (bin);I.2.1 Un protocole deborde de carnavalesques improvisations d acteurs;;Phase de preuve de concept [DevelopmentPhase];;date texte non donnee — date texte non donnee — fixee par la figure;17c55315ca2a45db9d1dc895fcba105d;valide(calibrage);;validee;;;
E026;catalogue+graphe;2011-04;mois;;acte;Article Forbes (Greenberg);poc;iv;bitcoin;medias_connaissance;;presse_medias;qualification_publique;;valorisation(+);non;;;mediatisation;ch.I l.271;"Chapitre I ; III.1 Crise Bitcoin CVE 2018-17144 : d'une crise à de nombreuses autres… | III.1.1 — Présentation périodisée : une mise en crise longue et silencieuse (CVE 2018) | I.1 Quand Bitcoin définit son monde… : l'aloi politique d'une CM pionnière";;Phase de preuve de concept [DevelopmentPhase];;cours pousse a 1.14 dollar;21e8e322b58f421aa3540bdeef5fde64;valide(calibrage);;validee;;;
G085;graphe;2011-04-18;jour;;acte;Lancement de Namecoin (merge mining);poc;vii;altcoin;;;;;;nd;non;;;;graphe v97 (chapitre nd) + fig. n6 V2.8 (bin);I.2.1 Un protocole deborde de carnavalesques improvisations d acteurs;;Phase de preuve de concept [DevelopmentPhase];;Lancement de Namecoin en avril 2011, premier altcoin et premier système de nommage décentralisé basé sur le code Bitcoin, démontrant l'extensibilité du modèle.;7b73ed5f4e7149baaf8c534c809bc33f;;;chantier;;;
G059;graphe;2011-05;mois;;acte;BitPay merchant payment processor;poc;iii;bitcoin;;;;;;nd;non;;;;graphe v97 (chapitre nd);I.2.1 Un protocole deborde de carnavalesques improvisations d acteurs;BitPay;Phase de péché [DevelopmentPhase];;Processeur de paiements marchands Bitcoin fondé en 2011, permettant aux commerçants d'accepter BTC avec conversion automatique en dollars, facilitant l'adoption commerciale.;4e1cf0998d754fef8d8ace2d4daad389;;;chantier;;;
G086;graphe;2011-06-03;jour;;acte;Service de portefeuille/paiement custodial BitPay;poc;iii;bitcoin;;;;;;nd;non;;;;graphe v97 (chapitre nd) + fig. n6 V2.8 (bin);I.2.1 Un protocole deborde de carnavalesques improvisations d acteurs;BitPay;Phase de maturation [DevelopmentPhase];;Processeur de paiements marchands Bitcoin fondé en 2011, permettant aux commerçants d'accepter BTC avec conversion automatique en dollars, facilitant l'adoption commerciale.;d693882f7dc74d6cb9a875d029f155aa;;;chantier;;;
E027;catalogue+graphe;2011-06-04;jour;;acte;PayPal retire de Bitcoinmarket.com (fraudes);poc;i*;bitcoin;institutions_financieres;;marches_plateformes;incident;;liquidite_convertibilite(-);non;;;marches;ch.I n.75 l.609;"Chapitre I ; III.1 Crise Bitcoin CVE 2018-17144 : d'une crise à de nombreuses autres… | III.1.2 — Une remise en ordre rapide (CVE 2018) | III.3.4 — « Fork You ?! » : scission surprise fondatrice et ses enseignements";;Phase de preuve de concept [DevelopmentPhase];;;a6db42830f81475a8050e8315e295426;valide(calibrage);;validee;;;
F005;figure;2011-06-13;jour;;acte;Premier vol de BTC;poc;viii;bitcoin;;;;;;nd;non;;;;fig. n6 V2.8 (bin) (2011-06-13);;;;;colonnes analytiques a coder;;;;chantier;;;
G087;graphe;2011-06-13;jour;;acte;MtGox perd 25 000 BTC (vol);poc;viii;bitcoin;;;;;;nd;non;;;;graphe v97 (chapitre nd) + fig. n6 V2.8 (bin);I.2.1 Un protocole deborde de carnavalesques improvisations d acteurs;MtGox;Phase de preuve de concept [DevelopmentPhase];;Vol de 25 000 BTC sur MtGox en juin 2011 suite à un hack du compte administrateur, première grande crise de sécurité d'un exchange Bitcoin.;608cc2e4c58247a48f6fa317fb91cbf8;;;chantier;;;
E028;catalogue+graphe;2011-06-14;jour;;acte;WikiLeaks annonce accepter les BTC;poc;i;bitcoin;medias_connaissance;;presse_medias;adoption;;valorisation(+);non;;;acces-usage;ch.I l.271 + l.277 + fig. n6 V2.8 (bin);"Chapitre I, section I.2 ; I.2.1 Un protocole deborde de carnavalesques improvisations d acteurs";WikiLeaks;Phase de péché [DevelopmentPhase];;cours multiplie par 8 - canal financier auxiliaire (texte);78dda096c4364121988bd3fb9757c53e;valide(calibrage);;validee;;;
E029;catalogue+graphe;2011-07;mois;;acte;Flash crash MtGox (32 vers 0.01 dollar);poc;i*;bitcoin;entrepreneurs_exchanges;;marches_plateformes;incident;;conf_methodique(-);non;;;marches;ch.I l.271;"Chapitre I ; I.2.1 Un protocole deborde de carnavalesques improvisations d acteurs";MtGox;Phase de preuve de concept [DevelopmentPhase];;problemes de securite - effet 2 valorisation(-);4f57a750014849e6b8676b66ef2aadd2;valide(calibrage);;validee;;;
F006;figure;2011-07-17;jour;;acte;[RU] Création de la plateforme BTC-E, par A. Vinnik et A. Bilyuchenko;poc;i;bitcoin;;;;;;nd;non;;;;fig. n6 V2.8 (bin) (2011-07-17);;;;;colonnes analytiques a coder;;;;chantier;;;
G088;graphe;2011-08-16;jour;;acte;Première bourse BTC/EUR (Paymium);poc;i;bitcoin;;;;;;nd;non;;;;graphe v97 (chapitre nd) + fig. n6 V2.8 (bin);I.2.1 Un protocole deborde de carnavalesques improvisations d acteurs;Martti Malmi | Paymium;Phase de péché [DevelopmentPhase];;Lancement de Paymium, premier exchange BTC/EUR régulé en Europe, fondé par Pierre Noizat et Gonzague Grandval, précurseur de la régulation des exchanges.;ae1cb2659fd7470b8ec1aa621226b3e1;;;chantier;;;
G068;graphe;2011-08-19;jour;;acte;Bitcoin Improvement Proposals standardization;poc;vi;bitcoin;;;;;;nd;non;;;;graphe v97 (chapitre nd);III.1 Crise Bitcoin CVE 2018-17144 : d'une crise à de nombreuses autres… | III.1.1 — Présentation périodisée : une mise en crise longue et silencieuse (CVE 2018) | I.1 Quand Bitcoin définit son monde… : l'aloi politique d'une CM pionnière;Amir Taaki;Phase de preuve de concept [DevelopmentPhase];;Mise en place du processus BIP (Bitcoin Improvement Proposal) en 2011, standardisant la soumission et l'évaluation des changements au protocole Bitcoin.;a494e3afcd4e41b5bc9a178c8c96483c;;;chantier;;;
G089;graphe;2011-08-19;jour;;acte;Standardisation des propositions protocolaires (BIP);poc;vi;bitcoin;;;;;;nd;non;;;;graphe v97 (chapitre nd) + fig. n6 V2.8 (bin);III.1.2 — Une remise en ordre rapide (CVE 2018) | III.2.3 — Des acteurs au cœur de la gouvernance sur le protocole : gouvernance de huis clos | III.3.3 — Gouvernance ouverte et publique pour des forks controversés;;Phase de preuve de concept [DevelopmentPhase];;Mise en place du processus Bitcoin Improvement Proposal (BIP) en 2011 par Amir Taaki, standardisant la soumission et l'évaluation des changements protocolaires.;008274f26bfd46dcabf5589b2a1cd15f;;;chantier;;;
E030;catalogue;2011-09;mois;;acte;Pieces Casascius (stockage a froid numismatique);poc;iii;bitcoin;entrepreneurs_exchanges;;entreprises_services;innovation_infrastructurelle;;nd;non;;;portefeuilles;ch.I n.74 l.607;;;;;;;valide(calibrage);;validee;;;
E031;catalogue+graphe;2011-10-07;jour;;acte;Lancement de Litecoin (C. Lee);poc;vii;altcoin;core_devs;;depots_de_code;innovation_protocolaire;;nd;non;;;altcoins;ch.I l.359 + fig. n6 V2.8 (bin);I.2.1 Un protocole deborde de carnavalesques improvisations d acteurs;;I.4 Conclusion du Chapitre I [ThesisSection];;"debut octobre 2011 — genese 07/10/2011 (verif. externe 02/08) — le graphe (19/11) etait errone — fig. 13/10/2011 = reseau actif ; genese 07/10 retenue (verif. externe)";94ce188ef0534c1e8601226fc60163dd;valide(calibrage);;validee;;;
G017;graphe;2011-11-11;jour;;acte;CVE-2011-4447 — Wallet non-encryption;poc;;bitcoin;core_devs;;depots_de_code;incident;innovation_protocolaire;nd;oui;6;CVE-2011-4447;crises-protocolaires;graphe v97 (chapitre nd);III.1 Crise Bitcoin CVE 2018-17144 : d'une crise à de nombreuses autres…;;;;;3c57e750960e4e97bf6cb2ba79e9f2cd;valide(lot3);"wiki des crises (ch.III l.181-249) via graphe v97 : crisisType=Exposition (Exposure) ; exploited=non confirmé ; correctif protocolaire implique ; bogue decouvert/corrige par les devs (precedent E015) ; traitement en depot de code";validee;systeme_protocole;d35d720e1fa24d9fbe665a90ac0abc73;protocole Bitcoin
E032;catalogue;2012;annee;;acte;Entree du capital-risque (2.1 M dollars investis);peche;i*;transversal;institutions_financieres;;marches_plateformes;financiarisation;;nd;non;;;financiarisation;ch.I n.90 l.639;;;;;annee a cheval poc/peche - phase indicative;;valide(calibrage);;validee;;;
E034;catalogue;2012;annee;;acte;Creation de Coinbase;peche;i;bitcoin;entrepreneurs_exchanges;;marches_plateformes;financiarisation;;nd;non;;;marches;fig. n 6 + ch.I l.287 + fig. n6 V2.8 (bin);;;;;[CHANTIER: localisation texte de la creation];;valide(calibrage);;chantier;;;
E035;catalogue+graphe;2012;annee;;acte;Lancement de la Fondation Bitcoin;peche;v;bitcoin;communautes_forums;entrepreneurs_exchanges;entreprises_services;innovation_infrastructurelle;;nd;non;;;representation;ch.I l.281 + n.84 l.627 + fig. n6 V2.8 (bin);"Chapitre I ; III.1 Crise Bitcoin CVE 2018-17144 : d'une crise à de nombreuses autres… | III.1.1 — Présentation périodisée : une mise en crise longue et silencieuse (CVE 2018) | I.1 Quand Bitcoin définit son monde… : l'aloi politique d'une CM pionnière";Mark Karpelès | Gavin Andresen | Charlie Shrem | Adam Back;Phase de péché [DevelopmentPhase];;fin 2012 - CA Karpeles Andresen Shrem;f9f289de35d14463999022184a680479;valide(calibrage);;douteuse;;;
G004;graphe;2012;annee;;acte;Bogue Bitcoin-Qt Windows 2012 (Crash nœuds);poc;;bitcoin;core_devs;;depots_de_code;incident;;nd;oui;8;CVE-2012-1910;crises-protocolaires;graphe v97 (chapitre nd);III.1 Crise Bitcoin CVE 2018-17144 : d'une crise à de nombreuses autres… | III.1.1 — Présentation périodisée : une mise en crise longue et silencieuse (CVE 2018) | I.1 Quand Bitcoin définit son monde… : l'aloi politique d'une CM pionnière;;;;;2e5d597d1add45de83a060caea9a05c3;propose(lot1);"wiki des crises (ch.III l.181-249) via graphe v97 : crisisType=Inconnue (Unknown) ; exploited=non confirmé ; bogue decouvert/corrige par les devs (precedent E015) ; traitement en depot de code";chantier;systeme_protocole;d35d720e1fa24d9fbe665a90ac0abc73;protocole Bitcoin
G101;graphe;2012;annee;;acte;Emergence services KYC/AML (2012-2013);poc;v;bitcoin;;;;;;nd;non;;;;graphe v97 (Chapitre I);I.2.1 Un protocole deborde de carnavalesques improvisations d acteurs;;Phase de péché [DevelopmentPhase];;Emergence des premiers services de conformite KYC (Know Your Customer) et AML (Anti-Money Laundering) guidant les entreprises Bitcoin dans un cadre reglementaire encore flou, suite;e94f426ef4b24efdb0a936bc1f5ee5ad;;;chantier;;;
G109;graphe;2012;annee;;acte;Capital-risque dans l ecosysteme Bitcoin (2012-2015);poc;i;bitcoin;;;;;;nd;non;;;;graphe v97 (Chapitre I);III.1 Crise Bitcoin CVE 2018-17144 : d'une crise à de nombreuses autres… | III.1.1 — Présentation périodisée : une mise en crise longue et silencieuse (CVE 2018) | I.1 Quand Bitcoin définit son monde… : l'aloi politique d'une CM pionnière;;Phase de maturation / Phase 3 Bitcoin [Concept];;2012: 2.1M$ (premiers VC). 2013: 93M$ dans 38 entreprises. 2014: 369M$ dans 69. 2015: 448M$ dans 96 (record), dont Coinbase 75M$. Supplante le financement interne (Rauchs 2016, p. ;7387a5055a284717a5e8221d0bbd216d;;;chantier;;;
G115;graphe;2012;annee;;acte;Introduction des frais relais minimums (protocole);poc;vi;bitcoin;;;;;;nd;non;;;;graphe v97 (Chapitre I);I.2.1 Un protocole deborde de carnavalesques improvisations d acteurs;;Phase de péché [DevelopmentPhase];;Ajout protocolaire d'un seuil minimum de frais relais pour prévenir les flood attacks (envoi massif de transactions infinitésimales). Paramètres modifiés plusieurs fois (versions 0;644be87209214927af0a4ffb959df6d8;;;chantier;;;
G128;graphe;2012;annee;;acte;OpenCoin / Ripple Labs : fondation de Ripple (2012);poc;;altcoin;;;;;;nd;non;;;;graphe v97 (Chapitre I);I.2.1 Un protocole deborde de carnavalesques improvisations d acteurs;;Phase de péché [DevelopmentPhase];;Société fondée par Jed McCaleb, Chris Larsen, Arthur Britto, Jesse Powell et David Schwartz. Premine total de 100 Mds XRP, 45 Mds en circulation (BitMEX Research 2018).;9041eaed3b7f4e1d9d276f5ca1b42d0e;;;chantier;;;
E036;catalogue;2012-01;mois;;acte;The Second Bitcoin Whitepaper (Willett);poc;vii;altcoin;core_devs;;listes_forums;innovation_protocolaire;;nd;non;;;ico;ch.I l.373 + fig. n6 V2.8 (bin);;;;;conception du metaprotocole Mastercoin;;valide(calibrage);;validee;;;
G018;graphe;2012-03-07;jour;;acte;CVE-2012-1909 — Transaction overwriting;poc;;bitcoin;core_devs;;on_chain;incident;innovation_protocolaire;conf_methodique(±);oui;7;CVE-2012-1909;crises-protocolaires;graphe v97 (chapitre nd);III.1 Crise Bitcoin CVE 2018-17144 : d'une crise à de nombreuses autres…;;;;;a9f76f92c83143479499d10b87c6fe77;valide(lot3);"wiki des crises (ch.III l.181-249) via graphe v97 : crisisType=Scission du réseau (Netsplit) ; correctif protocolaire implique ; bogue decouvert/corrige par les devs (precedent E015) ; effet reseau -> on_chain";validee;systeme_protocole;d35d720e1fa24d9fbe665a90ac0abc73;protocole Bitcoin
F007;figure;2012-03-15;jour;;acte;Premier Split de chain (BIP 30);poc;vi;bitcoin;;;;;;nd;non;;;;fig. n6 V2.8 (bin) (2012-03-15);;;;;colonnes analytiques a coder;;;;chantier;;;
G099;graphe;2012-04;mois;;acte;BIP 16 : Pay-to-Script-Hash (avril 2012);peche;vi;bitcoin;;;;;;nd;non;;;;graphe v97 (Chapitre I);III.1.2 — Une remise en ordre rapide (CVE 2018) | III.2.3 — Des acteurs au cœur de la gouvernance sur le protocole : gouvernance de huis clos | III.3.3 — Gouvernance ouverte et publique pour des forks controversés;;Phase de péché [DevelopmentPhase] | I.4 Conclusion du Chapitre I [ThesisSection];;BIP 16 introduit le standard P2SH qui inverse la charge de la preuve d'acces au UTXO de l'expediteur vers le receveur, permettant les transactions multi-signatures. Implementee en ;1eb70d76b39b4a86a102b5d42063c3ed;;;chantier;;;
F008;figure;2012-04-01;mois;;acte;Modification protocolaire BIP16 (P2SH) pour portefeuille multi-signatures;peche;vi;bitcoin;;;;;;nd;non;;;;fig. n6 V2.8 (bin) (2012-04-01);;;;;[jour 01 = convention mois probable de la frise] colonnes analytiques a coder;;;;chantier;;;
F009;figure;2012-04-02;jour;;acte;Service de processeurs de paiement (B2C, B2B), par OpenNode;peche;iii;bitcoin;;;;;;nd;non;;;;fig. n6 V2.8 (bin) (2012-04-02);;;;;colonnes analytiques a coder;;;;chantier;;;
E033;catalogue+graphe;2012-04-24;jour;;acte;SatoshiDice lance (Voorhees);peche;i;bitcoin;entrepreneurs_exchanges;;entreprises_services;adoption;;usage_paiement(+);non;;;peche;ch.I l.279 + fig. n 6 + fig. n6 V2.8 (bin);"Chapitre I ; I.2.1 Un protocole deborde de carnavalesques improvisations d acteurs";;Phase de péché [DevelopmentPhase];;date texte non donnee — date texte non donnee — fixee par la figure;4af2142b31984dc280cf51546cf08e9c;valide(calibrage);;validee;;;
F010;figure;2012-05-01;mois;;acte;Première publication de Bitcoin Magazine créer par V. Buterin & M. Alisie;peche;iv;bitcoin;;;;;;nd;non;;;;fig. n6 V2.8 (bin) (2012-05-01);;;;;[jour 01 = convention mois probable de la frise] colonnes analytiques a coder — acte distinct de E022 (creation/rapprochement 2011, l.391) : ici la premiere parution;;;;chantier;;;
