section_key;entity_id;nom_actuel;type;page_start_actuel;page_imprimee_verifiee;ecart;statut;source_preuve;parent;page_start_parent;concernee_sourcequote;note
intro_C_2d;f99a9cb9e9ca7b29a73efdcae8212a77;C.2.d. L'envers « hors ligne » : observations et entretiens;ThesisSection;;;;absent;titre introuvable;intro_C_2;;oui;PISTE (prefixe commun 16 car.) 4_Introduction_generale.pdf p.46 : « L’envers « hors ligne » : au contact des acteurs par observations et entretiens » — NON RETENU comme preuve
intro_C_2e;ee02c5c55eac9cd1fe26d13e8427cc50;C.2.e. Observations participantes hors ligne;ThesisSection;;;;absent;titre introuvable;intro_C_2;;oui;PISTE (quasi-titre 0.85) 4_Introduction_generale.pdf p.41 : « Observations participantes » — NON RETENU comme preuve | PISTE (prefixe commun 25 car.) 4_Introduction_generale.pdf p.41 : « Observations participantes » — NON RETENU comme preuve | PISTE (prefixe commun 25 car.) 4_Introduction_generale.pdf p.46 : « Observations participantes d’évènement hors ligne : premier s contacts en présence d’ acteurs » — NON RETENU comme preuve
intro_C_2f;c55b4bb54aa5817904f907248c78ce8a;C.2.f. Entretiens;ThesisSection;;;;absent;plusieurs occurrences exactes : 4_Introduction_generale.pdf p.41, 4_Introduction_generale.pdf p.46;intro_C_2;;oui;PISTE table des matieres imprimee : p.46 — corroboration, jamais preuve
intro_D;7a1965a429f1468180346e845d793eab;D. Objectifs, apports et organisation générale de la thèse;ThesisSection;;47;;absent;4_Introduction_generale.pdf p.47;Introduction générale;;non;numerotation IMPRIMEE differente de section_key : la these imprime « D » la ou section_key vaut « intro_D » — le script ne tranche pas laquelle a raison | table des matieres imprimee : accord (p.47)
intro_E;280a842a11bd4101b743f6527821c04e;E. Déclaration d'intérêts;ThesisSection;;51;;absent;4_Introduction_generale.pdf p.51;Introduction générale;;non;numerotation IMPRIMEE differente de section_key : la these imprime « E » la ou section_key vaut « intro_E » — le script ne tranche pas laquelle a raison | table des matieres imprimee : accord (p.51)
;a2c452a77b394a9d836eed0e16ed5851;Chapitre I - L'émergence du phénomène des cryptomonnaies (CM) : Bitcoin et Ethereum comme infrastructures sociotechniques;Chapter;;52;;hors-perimetre;5_Chapitre_1.pdf p.52;;;non;noeud de type Chapter : la pagination d'un chapitre repond a une autre logique (page de garde, non premiere page de contenu) et aucun de ces noeuds ne porte de page_start — hors perimetre du controle | table des matieres imprimee : accord (p.52)
;5b5935bc3ede49028b7dfbdaa4f34b6d;Chapitre II - Dépasser la controverse du statut monétaire des CM par un institutionnalisme intéressé aux usages;Chapter;;142;;hors-perimetre;6_Chapitre_2.pdf p.142;;;non;noeud de type Chapter : la pagination d'un chapitre repond a une autre logique (page de garde, non premiere page de contenu) et aucun de ces noeuds ne porte de page_start — hors perimetre du controle | table des matieres imprimee : accord (p.142)
;444d654ce38c41c7a277d883c77ba41b;Chapitre III - Au‑delà des codes : la gouvernance discrète des CM, dévoilée par leurs crises;Chapter;;220;;hors-perimetre;7_Chapitre_3.pdf p.220;;;non;noeud de type Chapter : la pagination d'un chapitre repond a une autre logique (page de garde, non premiere page de contenu) et aucun de ces noeuds ne porte de page_start — hors perimetre du controle | table des matieres imprimee : accord (p.220)
;6b64e26836434471917262334655952c;Conclusion générale;Chapter;;332;;hors-perimetre;8_Conclusion_Generale.pdf p.332;;;non;noeud de type Chapter : la pagination d'un chapitre repond a une autre logique (page de garde, non premiere page de contenu) et aucun de ces noeuds ne porte de page_start — hors perimetre du controle | table des matieres imprimee : accord (p.332)
;3ce505bcd3e74def8b78094b4cc06b6e;I.2.1b Un protocole Bitcoin qui s'adapte : des régulations transactionnelles très politiques;ThesisSection;;106;;absent;5_Chapitre_1.pdf p.106;;;oui;titre partage avec un autre noeud du graphe (I.2.2.b) : une reparation mecanique leur donnerait la meme page — arbitrage auteur | table des matieres imprimee : accord (p.106)
;df405dcd975b406486a260da72f1ad4a;Introduction générale;Chapter;;15;;hors-perimetre;4_Introduction_generale.pdf p.15;;;non;noeud de type Chapter : la pagination d'un chapitre repond a une autre logique (page de garde, non premiere page de contenu) et aucun de ces noeuds ne porte de page_start — hors perimetre du controle | table des matieres imprimee : accord (p.15)
