famille_id;noms;entity_ids;nb_membres;types;classe;preuve;canonique_propose;annotation_candidate;justification
43;Hughes 1993 Cypherpunk Manifesto | Hughes 1993 — A Cypherpunk's Manifesto;51061825b7fb47ab9676f6fb393f996e | c76bb3ae5b4d43f680ca8c5f075e12ba;2;Reference | IndigenousLiterature, Reference;fusion-sure;HUGHES Eric, 1993, « A Cypherpunk’s Manifesto », https://www.activism.net/cypherpunk/manifesto.html, 9 mars 1993, consul;51061825b7fb47ab9676f6fb393f996e (deg=6);duplicateOf=51061825b7fb47ab9676f6fb393f996e sur c76bb3ae5b4d43f680ca8c5f075e12ba, reviewStatus=pending-author;Même auteur, même millésime, même œuvre : une seule entrée au PDF, les deux nœuds n'en diffèrent que par la graphie/le libellé.
44;Jeong 2013 — The Bitcoin Protocol as Law | Jeong 2013;ba4fb228bb824d1b9ec0c15d9651edf0 | 17498d46de3114ecfad0f57c3077da34;2;Reference | Reference;fusion-sure;JEONG Sarah, 2013, « The Bitcoin Protocol as Law, and the Politics of a Stateless Currency ».;ba4fb228bb824d1b9ec0c15d9651edf0 (deg=24);duplicateOf=ba4fb228bb824d1b9ec0c15d9651edf0 sur 17498d46de3114ecfad0f57c3077da34, reviewStatus=pending-author;Même auteur, même millésime, même œuvre : une seule entrée au PDF, les deux nœuds n'en diffèrent que par la graphie/le libellé.
45;Kavanagh & Miscione 2017 | Kavanagh et Miscione 2017;6d3ccfa0dd3c4d798d364840f888a4e2 | 2986a9e1e1ce4486bbfa358ca58d2242;2;Reference | Reference;fusion-sure;KAVANAGH Donncha et MISCIONE Gianluca, 2017, « Infrastructures and Their Invisible Carnivalesque », SSRN Electronic Jour;6d3ccfa0dd3c4d798d364840f888a4e2 (deg=17);duplicateOf=6d3ccfa0dd3c4d798d364840f888a4e2 sur 2986a9e1e1ce4486bbfa358ca58d2242, reviewStatus=pending-author;Même auteur, même millésime, même œuvre : une seule entrée au PDF, les deux nœuds n'en diffèrent que par la graphie/le libellé.
46;King & Nadal 2012 Peercoin | Sunny King et Nadal 2012 | King Nadal 2012 — PPCoin Peer-to-Peer Crypto-Currency;b9b474c9712b4dbea11d55ae163d2b36 | 8ba11b69224445fba65e1e5160b365f7 | 6649a875b6b040e4b645481de807e338;3;Reference | IndigenousLiterature, Reference | Reference;fusion-sure;KING Sunny et NADAL Scott, 2012, « PPCoin: Peer-to-Peer Crypto-Currency with Proof-of-Stake », 19 août 2012.;b9b474c9712b4dbea11d55ae163d2b36 (deg=5);duplicateOf=b9b474c9712b4dbea11d55ae163d2b36 sur 8ba11b69224445fba65e1e5160b365f7, 6649a875b6b040e4b645481de807e338, reviewStatus=pending-author;Même auteur, même millésime, même œuvre : une seule entrée au PDF, les 3 nœuds n'en diffèrent que par la graphie/le libellé.
47;Knapp 1924 State Theory Money | Knapp 1924 — The State Theory of Money | Knapp 1924;4e7c7974fdc04b07a244b8eec8550974 | 573d8b4226b84a089da2580fc046b334 | db4e7b892fcb6a0b049a7a32dbd5b601;3;Reference | AcademicWork, Reference | Reference;fusion-sure;KNAPP G F, 1924, « The state theory of money », History of Economic Thought Books, 1924.;4e7c7974fdc04b07a244b8eec8550974 (deg=11);duplicateOf=4e7c7974fdc04b07a244b8eec8550974 sur 573d8b4226b84a089da2580fc046b334, db4e7b892fcb6a0b049a7a32dbd5b601, reviewStatus=pending-author;Même auteur, même millésime, même œuvre : une seule entrée au PDF, les 3 nœuds n'en diffèrent que par la graphie/le libellé.
48;Lars 2019a — Colored Coins: early tokenization on Bitcoin | Lars 2019a;8add087a86294cef8dfad0f37882ba34 | e318cea2b733450ca0992a87ead0b345;2;Reference | GreyLiterature, Reference;fusion-sure;LARS Ludovic, 2019a, « Des jetons sur Bitcoin : colored coins et autres procédés », https://journalducoin.com/bitcoin/ac;8add087a86294cef8dfad0f37882ba34 (deg=25);duplicateOf=8add087a86294cef8dfad0f37882ba34 sur e318cea2b733450ca0992a87ead0b345, reviewStatus=pending-author;Même auteur, même millésime, même œuvre : une seule entrée au PDF, les deux nœuds n'en diffèrent que par la graphie/le libellé.
49;Lars 2021 — Bitcoin and religious metaphors (bitcoin-histoire.fr) | Lars 2021;32f91ac4b4b14019a0afb4640bba23c7 | c1ebf64c7d6734e73472a545f04cec05;2;Reference | Reference;fusion-sure;LARS Ludovic, 2021, « Bitcoin, quand la révolution de la monnaie vire à la religion », https://journalducoin.com/analyse;32f91ac4b4b14019a0afb4640bba23c7 (deg=28);duplicateOf=32f91ac4b4b14019a0afb4640bba23c7 sur c1ebf64c7d6734e73472a545f04cec05, reviewStatus=pending-author;Même auteur, même millésime, même œuvre : une seule entrée au PDF, les deux nœuds n'en diffèrent que par la graphie/le libellé.
50;Lee 2011 — Litecoin launch announcement | Charli Lee 2011;fa4fa618b73a418f9edb30ae70538f00 | 6c31f72f6f6d4fca9f9512a7d66b7551;2;Reference | Reference;homonymie-risque;LEE Charli, 2011, « Lite Coin White Paper », 7 octobre 2011, 6 p.;;reviewStatus=homonym-check;Le PDF n'a que le « Lite Coin White Paper » : « Lee 2011 - Litecoin launch announcement » (annonce Bitcointalk) est possiblement un texte distinct du whitepaper - à trancher avant fusion.
51;Lopp 2018 GitHub Bitcoin Core | Lopp 2018 — Who Controls Bitcoin Core;304579e381c84c4a8f470c3386ac1e45 | b95feb4b7ce94d2c9903c5a192e3421d;2;Reference | IndigenousLiterature, Reference;fusion-sure;LOPP Jameson, 2018, « Who Controls Bitcoin Core? », Medium, https://medium.com/@lopp/who- controls-bitcoin-core-c55c0af9;304579e381c84c4a8f470c3386ac1e45 (deg=31);duplicateOf=304579e381c84c4a8f470c3386ac1e45 sur b95feb4b7ce94d2c9903c5a192e3421d, reviewStatus=pending-author;Même auteur, même millésime, même œuvre : une seule entrée au PDF, les deux nœuds n'en diffèrent que par la graphie/le libellé.
52;Lopp 2021 — History Bitcoin Transaction Dust Spam Storms | Lopp 2021 Spam Storms;a4a15c4d930e4c53ac47ceb110695686 | 78aaaaee3c684931b0b63a0b2a7ec181;2;IndigenousLiterature, Reference | Reference;fusion-sure;LOPP Jameson, 2021, « A History of Bitcoin Transaction Dust & Spam Storms », https://blog.lopp.net/history-bitcoin-trans;a4a15c4d930e4c53ac47ceb110695686 (deg=26);duplicateOf=a4a15c4d930e4c53ac47ceb110695686 sur 78aaaaee3c684931b0b63a0b2a7ec181, reviewStatus=pending-author;Même auteur, même millésime, même œuvre : une seule entrée au PDF, les deux nœuds n'en diffèrent que par la graphie/le libellé.
53;Lustig & Nardi 2015 — Algorithmic authority Bitcoin | Lustig & Nardi 2015 Algorithmic Authority;59cad7f544f743a3a42b7bfcf4c32991 | 6c21ae38f32f4957a4c38675b4582d1a;2;AcademicWork, Reference | Reference;fusion-sure;LUSTIG Caitlin et NARDI Bonnie, 2015, « Algorithmic authority: The case of Bitcoin », Proceedings of the Annual Hawaii I;59cad7f544f743a3a42b7bfcf4c32991 (deg=23);duplicateOf=59cad7f544f743a3a42b7bfcf4c32991 sur 6c21ae38f32f4957a4c38675b4582d1a, reviewStatus=pending-author;Même auteur, même millésime, même œuvre : une seule entrée au PDF, les deux nœuds n'en diffèrent que par la graphie/le libellé.
54;Mauss 1914 | Mauss 1914 — Les origines de la notion de monnaie;73ec82f5ffa03829ef5ab301dfadad9b | ff9f99aebc5d4ea69609189a38a96a53;2;Reference | Reference;fusion-sure;MAUSS Marcel, 1914, « Les origines de la notion de monnaie » dans Oeuvres 2. Représentations collectives et diversité de;73ec82f5ffa03829ef5ab301dfadad9b (deg=7);duplicateOf=73ec82f5ffa03829ef5ab301dfadad9b sur ff9f99aebc5d4ea69609189a38a96a53, reviewStatus=pending-author;Même auteur, même millésime, même œuvre : une seule entrée au PDF, les deux nœuds n'en diffèrent que par la graphie/le libellé.
55;Möser & Böhme 2015 — Towards Bitcoin payment networks | Moser et Bohme 2015;8a6aba8ed0de404ea8648f2419d9f63e | 51cd9218082f4db7b393a6d84f2f7b00;2;Reference | AcademicWork, Reference;homonymie-risque;MÖSER Malte et BÖHME Rainer, 2015, « Trends, Tips, Tolls: A Longitudinal Study of Bitcoin Transaction Fees » dans Michae;;reviewStatus=homonym-check;« Towards Bitcoin Payment Networks » est un autre article co-signé Möser (McCorry et al., 2016), absent du PDF : le nœud ainsi titré peut désigner une référence distincte de « Trends, Tips, Tolls » (2015).
56;Musiani Mallard Meadel 2018 | Musiani 2018 CM Gouvernance | Musiani Mallard Méadel 2018 — Governing what wasn't meant to be governed;ad474c1724da4ec88cbd78f924613cc5 | 11ca49860474402ab03050357095c728 | 9d026d51d41e40edb4c8c7c15d563ca5;3;Reference | Reference | AcademicWork, Reference;fusion-sure;MUSIANI Francesca, MALLARD Alexandre et MÉADEL Cécile, 2018, « 7 Governing what wasn’t meant to be governed » dans Campb;ad474c1724da4ec88cbd78f924613cc5 (deg=13);duplicateOf=ad474c1724da4ec88cbd78f924613cc5 sur 11ca49860474402ab03050357095c728, 9d026d51d41e40edb4c8c7c15d563ca5, reviewStatus=pending-author;Même auteur, même millésime, même œuvre : une seule entrée au PDF, les 3 nœuds n'en diffèrent que par la graphie/le libellé.
57;Nakamoto 2008 Bitcoin WP | Nakamoto 2008c — Bitcoin: A Peer-to-Peer Electronic Cash System;4510632442f34a1c8ad6f3fe0f17ad05 | e324660d7944e4c3b398b652c9eb490d;2;Reference | AcademicWork;fusion-sure;NAKAMOTO Satoshi, 2008c, « Bitcoin: A Peer -to-Peer Electronic Cash System », https://bitcoin.org/bitcoin.pdf, consulté ;4510632442f34a1c8ad6f3fe0f17ad05 (deg=41);duplicateOf=4510632442f34a1c8ad6f3fe0f17ad05 sur e324660d7944e4c3b398b652c9eb490d, reviewStatus=pending-author;Même auteur, même millésime, même œuvre : une seule entrée au PDF, les deux nœuds n'en diffèrent que par la graphie/le libellé.
58;Narayanan & Clark 2017 | Narayanan et Clark 2017;c539113210a84e1eaea3d8340504aba5 | d41e873a58e8e4eeb1f0ae715f884f8a;2;Reference | AcademicWork;fusion-sure;NARAYANAN Arvind et CLARK Jeremy, 2017, « Bitcoin’s academic pedigree », Communications of the ACM, 2017, vol. 60, no 12;c539113210a84e1eaea3d8340504aba5 (deg=10);duplicateOf=c539113210a84e1eaea3d8340504aba5 sur d41e873a58e8e4eeb1f0ae715f884f8a, reviewStatus=pending-author;Même auteur, même millésime, même œuvre : une seule entrée au PDF, les deux nœuds n'en diffèrent que par la graphie/le libellé.
59;Orléan 1998 — La monnaie autoréférentielle | Orléan 1998 | Orleans 1998 La monnaie entre violence et confiance;206ffb42b0204d808a0923a54b25d29e | a9340f8c0366860c9b2a0e96160a6766 | 2ae1182dd62c4e2691938b122812e2b2;3;AcademicWork, Reference | Reference | Reference;homonymie-risque;ORLÉAN André, 1998, « La monnaie autoréférentielle: reflexion sur les évolution monétaire contemporaine » dans La monnai || AGLIETTA Michel et ORLÉAN André, 2002, La monnaie entre violence et confiance, Odile Jacob;;reviewStatus=homonym-check;Réserve explicite de l'audit : « Orleans 1998 La monnaie entre violence et confiance » porte le titre d'Aglietta & Orléan 2002 avec le millésime 1998 - probable doublon mal étiqueté d'une autre famille, à réaffecter plutôt qu'à fusionner ici.
60;Ostrom 1990 | Ostrom 1990 — Governing the Commons;e3b7d91585004ef7a392934a0b37292f | b86c5ec82ea14e47854fce42261981d6;2;Reference | AcademicWork, Reference;fusion-sure;OSTROM Elinor, 1990, Governing the Commons, New York, Cambridge University Press, 1990.;e3b7d91585004ef7a392934a0b37292f (deg=9);duplicateOf=e3b7d91585004ef7a392934a0b37292f sur b86c5ec82ea14e47854fce42261981d6, reviewStatus=pending-author;Même auteur, même millésime, même œuvre : une seule entrée au PDF, les deux nœuds n'en diffèrent que par la graphie/le libellé.
61;Polanyi 1944 / 2011 | Polanyi 1944 — La grande transformation;f4bf1b02802f4f91b607a50377f06114 | 1782b07fc7cc459e9636817b6350be4f;2;Reference | AcademicWork, Reference;doublon-probable;POLANYI Karl, 1944, La grande transformation : aux origines politiques et économiques de notre temps, Paris, Gallimard, ;f4bf1b02802f4f91b607a50377f06114 (deg=9);duplicateOf=f4bf1b02802f4f91b607a50377f06114 sur 1782b07fc7cc459e9636817b6350be4f, reviewStatus=pending-author;Une seule entrée 1944 au PDF (La grande transformation, rééd. 2004) : « Polanyi 1944 / 2011 » désigne vraisemblablement la même œuvre sous une autre édition, à confirmer (le PDF a par ailleurs Polanyi 2011 = La subsistance, œuvre distincte).
62;Polanyi 2011 — La subsistance de l'homme | Polanyi 2011;24d1f1fef4004261b7828cee4ef56038 | d59d4daf9118bb32716098b7f00f0328;2;AcademicWork, Reference | Reference;fusion-sure;POLANYI Karl, 2011, La subsistance de l’homme : La place de l’économie dans l’histoire et la société [trad B Chavance], ;24d1f1fef4004261b7828cee4ef56038 (deg=12);duplicateOf=24d1f1fef4004261b7828cee4ef56038 sur d59d4daf9118bb32716098b7f00f0328, reviewStatus=pending-author;Même auteur, même millésime, même œuvre : une seule entrée au PDF, les deux nœuds n'en diffèrent que par la graphie/le libellé.
63;Pouliot 2018 — Bitcoin: l'histoire cachée | Pouliot 2018;c7bab4b241524b4a833a2869b6839dd5 | a605c562dc792727eb4644dcc2c6ae50;2;Reference | Reference;doublon-probable;POULIOT Francis, 2018, « Catallaxy: the origins of Bitcoin and innovation », https://medium.com/@francispouliot/catallax;c7bab4b241524b4a833a2869b6839dd5 (deg=26);duplicateOf=c7bab4b241524b4a833a2869b6839dd5 sur a605c562dc792727eb4644dcc2c6ae50, reviewStatus=pending-author;Une seule entrée Pouliot au PDF (« Catallaxy: the origins of Bitcoin and innovation ») mais le titre « Bitcoin: l'histoire cachée » ne la recoupe pas mot à mot - même auteur même année, titre à confirmer.
64;Raskin et Yermack 2016 | Raskin & Yermack 2016 — Digital currencies, decentralized ledgers, and the future of central banking;a97e6731b97b32372dc29020e1317b59 | 4f8f09e6db31439399896568354c0f56;2;Reference | Reference;fusion-sure;RASKIN Max et YERMACK David, 2016, « Digital currencies, decentralized ledgers, and the future of central banking », Nat;a97e6731b97b32372dc29020e1317b59 (deg=6);duplicateOf=a97e6731b97b32372dc29020e1317b59 sur 4f8f09e6db31439399896568354c0f56, reviewStatus=pending-author;Même auteur, même millésime, même œuvre : une seule entrée au PDF, les deux nœuds n'en diffèrent que par la graphie/le libellé.
65;Rauchs 2016 | Rauchs 2016 — Cryptocurrencies meeting business ecosystems;4ed01f7542be4de9b53d4f30516ab5fb | 9531cc48ccec4fa3b4dec6e4ea90f907;2;Reference | AcademicWork, Reference;fusion-sure;RAUCHS Michel, 2016, « Cryptocurrencies meeting business ecosystems : the case of bitcoin », https://papers.ssrn.com/sol;4ed01f7542be4de9b53d4f30516ab5fb (deg=22);duplicateOf=4ed01f7542be4de9b53d4f30516ab5fb sur 9531cc48ccec4fa3b4dec6e4ea90f907, reviewStatus=pending-author;Même auteur, même millésime, même œuvre : une seule entrée au PDF, les deux nœuds n'en diffèrent que par la graphie/le libellé.
66;Rauchs et al. 2018 | Rauchs et al. 2018 — Distributed Ledger Systems Conceptual Framework;9984b3924a284a1d881e34ffcf669c39 | c90459607fca4768b307d096e3e05378;2;Reference | AcademicWork, Reference;fusion-sure;RAUCHS Michel, GLIDDEN Andrew, GORDON Brian, PIETERS Gina, RECANATINI Martino, ROSTAND François, VAGNEUR Kathryn et ZHAN;9984b3924a284a1d881e34ffcf669c39 (deg=14);duplicateOf=9984b3924a284a1d881e34ffcf669c39 sur c90459607fca4768b307d096e3e05378, reviewStatus=pending-author;Même auteur, même millésime, même œuvre : une seule entrée au PDF, les deux nœuds n'en diffèrent que par la graphie/le libellé.
67;Redman 2019b — Wrapped Bitcoin (WBTC) launch on Ethereum | Redman 2019b;6e2f338bb3bc4a04aa0fa3dfa8931318 | db27994d43c54873939c11e21dcf0ebe;2;Reference | GreyLiterature, Reference;fusion-sure;REDMAN Jamie, 2019b, « The “Wrapped Bitcoin ” Project Has Now Officially Launched on Ethereum », https://news.bitcoin.co;6e2f338bb3bc4a04aa0fa3dfa8931318 (deg=29);duplicateOf=6e2f338bb3bc4a04aa0fa3dfa8931318 sur db27994d43c54873939c11e21dcf0ebe, reviewStatus=pending-author;Même auteur, même millésime, même œuvre : une seule entrée au PDF, les deux nœuds n'en diffèrent que par la graphie/le libellé.
68;Rolland & Slim 2017 — Économie politique du Bitcoin | Rolland & Slim 2017;708e681a656d41fd9104328794cab822 | 0ea689b1511b481e9df16233058bcce1;2;AcademicWork, Reference | Reference;fusion-sure;ROLLAND Maël et SLIM Assen, 2017, « Économie politique du Bitcoin : l’institutionnalisation d’une monnaie sans instituti;708e681a656d41fd9104328794cab822 (deg=28);duplicateOf=708e681a656d41fd9104328794cab822 sur 0ea689b1511b481e9df16233058bcce1, reviewStatus=pending-author;Même auteur, même millésime, même œuvre : une seule entrée au PDF, les deux nœuds n'en diffèrent que par la graphie/le libellé.
69;Rosenfeld 2012 | Rosenfeld 2012 — Colored Coins;3737dd82ad0e4819aaacee0061c57c58 | b911a98badbc4c76bdb0df93b26ec47e;2;IndigenousLiterature, Reference | Reference;fusion-sure;ROSENFELD Meni, 2012, « Overview of Colored Coins », https://allquantor.at/blockchainbib/pdf/rosenfeld2012overview.pdf, ;3737dd82ad0e4819aaacee0061c57c58 (deg=4);duplicateOf=3737dd82ad0e4819aaacee0061c57c58 sur b911a98badbc4c76bdb0df93b26ec47e, reviewStatus=pending-author;Même auteur, même millésime, même œuvre : une seule entrée au PDF, les deux nœuds n'en diffèrent que par la graphie/le libellé.
70;Russo 2020 — The Infinite Machine Ethereum | Russo 2020 Infinite Machine;bcb6224ca258462e815df9678e1992b1 | e70690b67c514557baade09dd0410872;2;AcademicWork, Reference | Reference;fusion-sure;RUSSO Camila, 2020, The Infinite Machine: How an Army of Crypto -Hackers Is Building the Next Internet with Ethereum, Ne;bcb6224ca258462e815df9678e1992b1 (deg=32);duplicateOf=bcb6224ca258462e815df9678e1992b1 sur e70690b67c514557baade09dd0410872, reviewStatus=pending-author;Même auteur, même millésime, même œuvre : une seule entrée au PDF, les deux nœuds n'en diffèrent que par la graphie/le libellé.
71;Selgin 2013 Synthetic Commodity Money | Selgin 2013 — Quasi-Commodity Money;adc1a4d09cfb4a6892dfc8fa49cad2fc | 5680ab9e9b6a4a1f8f66964f7214266a;2;Reference | AcademicWork, Reference;homonymie-risque;SELGIN George, 2013, « Quasi-Commodity Money », SSRN Electronic Journal, 10 avril 2013. || SELGIN George, 2014b, « Synthetic Commodity Money », Journal of Financial Stability, juillet 2014;;reviewStatus=homonym-check;Le PDF porte DEUX entrées Selgin distinctes (2013 « Quasi-Commodity Money » et 2014b « Synthetic Commodity Money ») : le nœud « Selgin 2013 Synthetic Commodity Money » chevauche les deux - risque de confusion entre deux références.
72;Servet Dufresne 2021 | Servet & Dufrêne 2021 — Monnaie et société numérique;1f8cc3add79945b5bbcb31e9e211880c | a6d5a701247c4ea196363a9b42b5c68e;2;Reference | Reference;doublon-probable;SERVET Jean Michel et DUFRÊNE Nicolas, 2021, « Le bitcoin devient un danger pour le système monétaire et financier et po;1f8cc3add79945b5bbcb31e9e211880c (deg=2);duplicateOf=1f8cc3add79945b5bbcb31e9e211880c sur a6d5a701247c4ea196363a9b42b5c68e, reviewStatus=pending-author;Une seule entrée Servet & Dufrêne 2021 au PDF (tribune « Le bitcoin devient un danger... ») : le sous-titre « Monnaie et société numérique » du second nœud ne la recoupe pas - même duo d'auteurs même année, titre à confirmer.
73;Shin 2022 Cryptopians | Shin 2022 — The Cryptopians;2461f0fb8d904328aa1dfe60c5d547b8 | 89e4b24810e94abe98890e581be45e7d;2;Reference | AcademicWork, Reference;fusion-sure;SHIN Laura, 2022, The Cryptopians: Idealism, Greed, Lies, and the Making of the First Big Cryptocurrency Craze, New York;2461f0fb8d904328aa1dfe60c5d547b8 (deg=14);duplicateOf=2461f0fb8d904328aa1dfe60c5d547b8 sur 89e4b24810e94abe98890e581be45e7d, reviewStatus=pending-author;Même auteur, même millésime, même œuvre : une seule entrée au PDF, les deux nœuds n'en diffèrent que par la graphie/le libellé.
74;Star & Ruhleder 2010 | Star & Ruhleder 2010 — Vers une écologie de l'infrastructure;940fa052d3004315bb56e5785d746fe7 | a5f0ee04162d4434ba7329ac575da1e4;2;Reference | AcademicWork, Reference;fusion-sure;STAR Susan Leigh et RUHLEDER, K aren. (2010) . « Vers une écologie de l'infrastructure Conception et accès aux grands es || LEIGH STAR Susan et RUHLEDER Karen, 2010, « Vers une écologie de l'infrastructure : Conception et accès aux grands espac;940fa052d3004315bb56e5785d746fe7 (deg=8);duplicateOf=940fa052d3004315bb56e5785d746fe7 sur a5f0ee04162d4434ba7329ac575da1e4, reviewStatus=pending-author;Même auteur, même millésime, même œuvre : une seule entrée au PDF, les deux nœuds n'en diffèrent que par la graphie/le libellé.
75;Star 1999 Ethnography Infrastructure | Star 1999 — Ethnography of Infrastructure;f9dffa750bf5466eb6ab2c836395672c | e054a8412cf847b7b75c471e72bc414f;2;Reference | AcademicWork, Reference;fusion-sure;STAR Susan Leigh, 1999, « Ethnography of infrastructure », American Behavioral Scientist , 1999, vol. 43, p. 377-391.;f9dffa750bf5466eb6ab2c836395672c (deg=20);duplicateOf=f9dffa750bf5466eb6ab2c836395672c sur e054a8412cf847b7b75c471e72bc414f, reviewStatus=pending-author;Même auteur, même millésime, même œuvre : une seule entrée au PDF, les deux nœuds n'en diffèrent que par la graphie/le libellé.
76;Stiglitz 2017 — Bitcoin ought to be outlawed (Bloomberg) | Stiglitz 2017;9aa951e44e7c4548b534561d9413f5d3 | e030d16a8f2c28d30382cb57c6ea6b61;2;Reference | Reference;fusion-sure;« Bitcoin ‘Ought to Be Outlawed,’ Nobel Prize Winner Stiglitz Says - Bloomberg », 29 novembre 2017, https://www.bloomber;9aa951e44e7c4548b534561d9413f5d3 (deg=23);duplicateOf=9aa951e44e7c4548b534561d9413f5d3 sur e030d16a8f2c28d30382cb57c6ea6b61, reviewStatus=pending-author;Même auteur, même millésime, même œuvre : une seule entrée au PDF, les deux nœuds n'en diffèrent que par la graphie/le libellé.
77;Théret 2008 — Les trois états de la monnaie | Theret 2008 Etats de la monnaie;22c9a9932b054b36959436c08c50d93e | a5deed892210461c9bddf8a8e3485537;2;AcademicWork, Reference | Reference;fusion-sure;THÉRET Bruno, 2008, « Les trois états de la monnaie », Revue économique, 2008, vol. 59, no 4, p.813- 840.;22c9a9932b054b36959436c08c50d93e (deg=14);duplicateOf=22c9a9932b054b36959436c08c50d93e sur a5deed892210461c9bddf8a8e3485537, reviewStatus=pending-author;Même auteur, même millésime, même œuvre : une seule entrée au PDF, les deux nœuds n'en diffèrent que par la graphie/le libellé.
78;Tirole 2017 — Many reasons to be cautious about bitcoin | Tirole 2017 Enigma Bitcoin;2f1fca7ac1ff4ab39e90612457ec8dad | f192347519d44d48934b740b73a73f27;2;GreyLiterature, Reference | Reference;doublon-probable;TIROLE Jean, 2017, « There are many reasons to be cautious about bitcoin », https://www.ft.com/content/1c034898-d50f-11e;2f1fca7ac1ff4ab39e90612457ec8dad (deg=27);duplicateOf=2f1fca7ac1ff4ab39e90612457ec8dad sur f192347519d44d48934b740b73a73f27, reviewStatus=pending-author;Une seule entrée Tirole 2017 au PDF (tribune FT) : « Enigma Bitcoin » renvoie plausiblement à la même tribune sous son intitulé français - convergence forte, titre à confirmer.
79;Van Wirdum 2014 — The democratization of finance through Bitcoin | Wirdum 2014;eee5305b0f8a4c3ca93b4a37257c1be2 | dd5827d0f60ca83da5c8790159348427;2;Reference | Reference;fusion-sure;WIRDUM Aaron van, 2014, « Why Bitcoin Really Does Represent the Democratization of Money », Bitcoin Magazine , https://b;eee5305b0f8a4c3ca93b4a37257c1be2 (deg=24);duplicateOf=eee5305b0f8a4c3ca93b4a37257c1be2 sur dd5827d0f60ca83da5c8790159348427, reviewStatus=pending-author;Même auteur, même millésime, même œuvre : une seule entrée au PDF, les deux nœuds n'en diffèrent que par la graphie/le libellé.
80;Vergne & Swain 2017 — Categorical Anarchy Bitcoin British Media | Vergne & Swain 2017 Anarchic Categories;b84ba9333dae45b79c193be327fb769a | 354839e9e88649b1bfc42d89d28d1a84;2;AcademicWork, Reference | Reference;fusion-sure;VERGNE Jean Philippe et SWAIN Gautam, 2017, « Categorical Anarchy in the U.K. The British Media’s Classification of Bitc;b84ba9333dae45b79c193be327fb769a (deg=21);duplicateOf=b84ba9333dae45b79c193be327fb769a sur 354839e9e88649b1bfc42d89d28d1a84, reviewStatus=pending-author;Même auteur, même millésime, même œuvre : une seule entrée au PDF, les deux nœuds n'en diffèrent que par la graphie/le libellé.
81;Von Mises 1912 | Von Mises 1912 — The Theory of Money and Credit;7486621579b552edc8aed12feed95ddf | aa7f659399b34095acee25ec65ecef41;2;Reference | Reference;fusion-sure;VON MISES Ludwig, 1912, The theory of money and credit, New Haven, Yale University Press, 1953, Auburn, Alabama, Ludwig ;7486621579b552edc8aed12feed95ddf (deg=3);duplicateOf=7486621579b552edc8aed12feed95ddf sur aa7f659399b34095acee25ec65ecef41, reviewStatus=pending-author;Même auteur, même millésime, même œuvre : une seule entrée au PDF, les deux nœuds n'en diffèrent que par la graphie/le libellé.
82;Walch 2017 | Walch 2017a — Path of the Blockchain Lexicon;d24f408be2c115da692d12c2ace24bdd | 21d453b14d7f4cdd9ff7e8afc9ba3acd;2;Reference | AcademicWork, Reference;homonymie-risque;WALCH Angela, 2017a, « The Path of the Blockchain Lexicon (and the Law) », 36 Rev. Banking & Fin. L, 2017, vol. 191, no  || WALCH Angela, 2017b, « Open Source Operational Risk : Should Public Blockchains Serve as Financial M;;reviewStatus=homonym-check;Le PDF porte deux entrées Walch 2017 (a et b) : le membre « Walch 2017 » sans suffixe peut viser l'une ou l'autre - verification du texte cite requise.
83;Walch 2017 Governance Blockchain | Walch 2017b — Open Source Operational Risk Blockchains;9d1b623cb2a342108c12d4218294d708 | 8640638b2d78436d8b471f947583747e;2;Reference | AcademicWork, Reference;homonymie-risque;WALCH Angela, 2017b, « Open Source Operational Risk : Should Public Blockchains Serve as Financial Market Infrastructure || WALCH Angela, 2017a, « The Path of the Blockchain Lexicon (and the Law) », 36 Rev. Banking & Fin. L;;reviewStatus=homonym-check;Le PDF porte deux entrées Walch 2017 (a et b) : « Walch 2017 Governance Blockchain » ne porte ni suffixe ni le titre de 2017b - il peut viser 2017a, 2017b, voire un autre texte de Walch.
84;Wilcke 2016 Hard Fork | Wilcke 2016 — To Fork or not to Fork;5b4b67bbe5774f5d97833c0e02d10f3a | b4c29d75b01748fe9b457b73e0b045f3;2;Reference | IndigenousLiterature, Reference;fusion-sure;WILCKE Jeffrey, 2016, « To Fork or not to Fork », https://blog.ethereum.org/2016/07/15/to-Fork-or- not-to-Fork/, 15 juil;5b4b67bbe5774f5d97833c0e02d10f3a (deg=6);duplicateOf=5b4b67bbe5774f5d97833c0e02d10f3a sur b4c29d75b01748fe9b457b73e0b045f3, reviewStatus=pending-author;Même auteur, même millésime, même œuvre : une seule entrée au PDF, les deux nœuds n'en diffèrent que par la graphie/le libellé.
85;Wirdum 2019 | Van Wirdum 2019 — Stratum V2: next generation mining protocol;e57bb7366c66490b82597a1edab3d016 | e000d5189ed14e2ab391bd42d79a7426;2;GreyLiterature, Reference | Reference;fusion-sure;WIRDUM Aaron van, 2019, « Stratum V2 Could Overhaul Pooled Bitcoin Mining », Bitcoin Magazine, https://bitcoinmagazine.c;e57bb7366c66490b82597a1edab3d016 (deg=8);duplicateOf=e57bb7366c66490b82597a1edab3d016 sur e000d5189ed14e2ab391bd42d79a7426, reviewStatus=pending-author;Même auteur, même millésime, même œuvre : une seule entrée au PDF, les deux nœuds n'en diffèrent que par la graphie/le libellé.
